pressure,iron,copper,hardness,silica,alkalinity,conductance,conformity_class
422.92999999999313,0.053,0.011,0.42,37.44,371.41,2338.7000000000003,nonconforming
228.70999999999992,0.034,0.005,0.3,117.13,499.85,8371.09,nonconforming
443.5999999999924,0.039,0.025,0.09,30.81,331.76,6202.820000000001,nonconforming
491.0499999999908,0.054,0.011,0.12,114.14,387.01,935.87,nonconforming
523.9399999999896,0.044,0.019,0.42,23.66,792.09,48.36,nonconforming
386.2699999999944,0.04,0.014,0.03,40.95,94.51,8364.460000000001,nonconforming
464.65999999999167,0.007,0.029,0.0,114.01,469.82,4129.71,nonconforming
503.0099999999903,0.01,0.023,0.0,47.45,689.52,4800.38,nonconforming
450.61999999999216,0.012,0.026,0.3,7.15,465.92,2202.85,nonconforming
227.67,0.011,0.029,0.12,45.370000000000005,319.54,8544.380000000001,nonconforming
346.4899999999958,0.017,0.015,0.09,105.56,765.44,8434.79,nonconforming
332.4499999999963,0.023,0.019,0.3,10.01,263.12,1236.3,conforming
326.4699999999965,0.034,0.013,0.21,33.67,664.0400000000001,3282.11,nonconforming
296.0499999999976,0.043,0.01,0.24,48.620000000000005,695.11,1850.81,conforming
471.5499999999914,0.006,0.022,0.42,105.95,473.98,623.74,nonconforming
522.1199999999897,0.019,0.021,0.03,41.73,503.36,547.82,nonconforming
414.08999999999344,0.005,0.016,0.06,96.98,715.13,5913.7,nonconforming
642.6099999999907,0.028,0.021,0.2,8.32,745.6800000000001,3386.8900000000003,nonconforming
519.369999999995,0.008,0.011,0.26,52.13,171.6,4902.95,nonconforming
552.7799999999938,0.033,0.012,0.0,38.35,146.38,1483.04,nonconforming
589.9599999999925,0.009,0.02,0.28,38.09,739.3100000000001,758.8100000000001,nonconforming
563.6999999999935,0.03,0.024,0.12,9.1,98.15,2773.94,nonconforming
607.8999999999919,0.011,0.02,0.22,7.930000000000001,732.4200000000001,2643.55,nonconforming
531.8499999999946,0.01,0.022,0.06,37.96,713.0500000000001,5415.41,nonconforming
510.3999999999953,0.013,0.005,0.12,33.28,460.59,1586.26,conforming
548.099999999994,0.028,0.006,0.02,27.95,68.64,877.5,conforming
422.7799999999984,0.013,0.024,0.06,43.55,738.01,1448.85,nonconforming
580.3399999999929,0.023,0.022,0.06,33.410000000000004,693.16,805.09,nonconforming
408.86999999999887,0.008,0.015,0.18,14.69,18.59,4629.3,conforming
630.5199999999911,0.019,0.017,0.14,46.28,512.59,7093.71,nonconforming
536.2699999999944,0.011,0.011,0.18,48.36,492.05,2979.99,nonconforming
622.8499999999914,0.022,0.022,0.0,24.18,682.76,5166.33,nonconforming
616.8699999999916,0.005,0.012,0.08,47.58,126.49,4815.72,nonconforming
528.2099999999947,0.019,0.009,0.26,18.59,741.26,6103.63,nonconforming
543.8099999999941,0.01,0.013,0.12,22.49,97.11,4219.150000000001,conforming
553.1699999999938,0.011,0.023,0.12,32.89,425.23,4480.1900000000005,nonconforming
608.8099999999919,0.029,0.008,0.1,56.29,742.4300000000001,5761.860000000001,nonconforming
472.3099999999967,0.01,0.015,0.06,23.4,535.47,426.01,nonconforming
408.3499999999989,0.028,0.016,0.04,35.230000000000004,179.4,1119.17,conforming
468.5399999999968,0.027,0.022,0.14,50.18,226.98,515.58,nonconforming
387.0299999999996,0.022,0.015,0.08,29.77,726.0500000000001,6746.4800000000005,nonconforming
628.5699999999912,0.014,0.006,0.12,39.0,546.52,3104.92,nonconforming
514.5599999999952,0.024,0.01,0.1,34.71,131.17000000000002,3566.42,conforming
663.53999999999,0.031,0.016,0.02,8.71,316.03000000000003,5429.320000000001,nonconforming
475.03999999999655,0.021,0.017,0.16,45.24,469.56,6735.43,nonconforming
539.1299999999943,0.026,0.009,0.22,17.55,169.13,7130.240000000001,nonconforming
662.88999999999,0.026,0.008,0.3,17.03,87.23,4757.74,nonconforming
498.5699999999957,0.016,0.018,0.1,56.03,176.41,2931.37,nonconforming
604.909999999992,0.014,0.024,0.16,28.47,175.63,5339.62,nonconforming
546.2799999999941,0.014,0.006,0.3,25.87,35.1,5187.13,nonconforming
381.04999999999984,0.023,0.011,0.28,42.64,589.16,6476.34,nonconforming
440.58999999999776,0.019,0.006,0.16,22.36,180.57,4963.66,conforming
633.639999999991,0.01,0.024,0.14,0.91,7.930000000000001,5160.35,nonconforming
577.869999999993,0.016,0.014,0.02,3.25,493.48,922.61,conforming
572.6699999999931,0.019,0.01,0.18,45.89,317.46000000000004,3634.67,nonconforming
543.8099999999941,0.02,0.016,0.08,1.95,573.69,4731.35,nonconforming
547.449999999994,0.011,0.008,0.06,27.69,746.72,2760.42,nonconforming
425.2499999999983,0.029,0.023,0.12,31.59,359.58,3752.32,conforming
505.7199999999955,0.017,0.009,0.12,1.04,403.26,472.16,conforming
451.2499999999974,0.013,0.006,0.0,39.65,179.66,5719.87,nonconforming
486.9999999999961,0.017,0.019,0.18,30.42,685.88,5142.54,nonconforming
428.7599999999982,0.019,0.02,0.28,22.1,736.0600000000001,6116.5,nonconforming
657.2999999999902,0.009,0.016,0.22,15.34,147.16,6656.52,nonconforming
558.4999999999936,0.03,0.023,0.04,10.92,475.54,5674.5,nonconforming
615.1799999999917,0.021,0.018,0.24,19.11,56.940000000000005,1964.3,nonconforming
387.1599999999996,0.017,0.021,0.2,49.79,24.31,2159.82,conforming
533.4099999999945,0.029,0.01,0.3,42.38,205.79,3303.69,nonconforming
822.3799999999896,0.01,0.005,0.24,21.19,248.69,1372.93,nonconforming
663.5199999999952,0.026,0.007,0.3,33.28,303.16,2309.9700000000003,nonconforming
553.4099999999991,0.029,0.02,0.0,1.4300000000000002,535.99,5042.570000000001,nonconforming
615.0299999999969,0.026,0.006,0.26,33.410000000000004,258.83,1483.17,nonconforming
767.9099999999916,0.018,0.016,0.14,23.92,296.14,491.66,nonconforming
755.559999999992,0.01,0.022,0.04,34.84,480.22,459.94,nonconforming
575.8999999999983,0.012,0.011,0.28,34.06,497.38,2555.15,nonconforming
548.3399999999992,0.027,0.008,0.3,0.26,557.7,4432.09,nonconforming
672.6199999999949,0.013,0.009,0.04,19.89,397.28,550.16,conforming
735.0199999999927,0.027,0.019,0.2,19.37,153.01000000000002,983.58,nonconforming
741.7799999999925,0.006,0.012,0.14,19.5,262.08,3155.23,conforming
683.9299999999945,0.018,0.023,0.2,21.84,141.05,3534.83,nonconforming
749.8399999999922,0.026,0.007,0.0,24.96,260.26,1624.22,nonconforming
659.4899999999953,0.029,0.019,0.1,30.55,279.37,5473.91,nonconforming
721.1099999999932,0.011,0.021,0.16,4.94,442.13,5586.1,nonconforming
700.9599999999939,0.017,0.008,0.12,41.21,407.81,137.02,nonconforming
709.6699999999936,0.02,0.017,0.02,10.53,496.99,4147.650000000001,nonconforming
781.9499999999911,0.024,0.021,0.12,14.04,580.58,5230.68,nonconforming
538.3299999999996,0.026,0.011,0.12,9.1,195.26,1515.67,conforming
648.1799999999957,0.013,0.008,0.14,32.24,563.03,3797.3,nonconforming
703.0399999999938,0.023,0.022,0.0,2.47,56.68,5443.2300000000005,nonconforming
648.9599999999957,0.029,0.021,0.02,10.4,270.27,2730.9100000000003,nonconforming
585.5199999999979,0.025,0.013,0.02,11.18,491.66,4842.89,conforming
575.7699999999983,0.027,0.023,0.18,9.1,2.21,2615.6,nonconforming
810.2899999999901,0.014,0.016,0.0,38.870000000000005,416.39,442.26,nonconforming
527.8,0.023,0.023,0.2,33.54,470.08,1290.12,nonconforming
684.3199999999945,0.012,0.006,0.18,30.81,469.56,3893.63,nonconforming
540.2799999999995,0.006,0.006,0.26,29.12,41.21,3066.7000000000003,nonconforming
824.1999999999896,0.027,0.009,0.06,39.52,393.38,2772.51,nonconforming
641.029999999996,0.011,0.018,0.04,34.45,295.36,3466.4500000000003,nonconforming
548.8599999999992,0.009,0.02,0.2,31.98,205.66,1422.98,conforming
709.1499999999936,0.024,0.008,0.2,14.17,468.26,2367.3,nonconforming
566.1499999999986,0.024,0.018,0.02,40.3,435.5,225.42,nonconforming
557.3099999999989,0.029,0.008,0.14,42.25,404.82,5918.51,nonconforming
631.4099999999963,0.028,0.014,0.02,30.03,107.12,34.71,nonconforming
822.6399999999896,0.012,0.021,0.26,13.26,231.4,2565.1600000000003,nonconforming
768.4299999999915,0.014,0.011,0.02,27.69,507.0,5812.95,nonconforming
650.2599999999957,0.01,0.021,0.28,13.13,587.21,3010.67,nonconforming
713.6999999999935,0.017,0.016,0.1,27.56,260.78000000000003,5127.070000000001,nonconforming
552.8899999999991,0.016,0.011,0.14,26.65,503.36,128.96,nonconforming
595.2699999999976,0.005,0.009,0.22,43.29,449.15,3936.14,nonconforming
722.5399999999931,0.013,0.024,0.02,12.22,190.97,5418.14,nonconforming
593.0599999999977,0.013,0.011,0.06,13.52,441.87,5233.41,nonconforming
626.2099999999965,0.006,0.019,0.28,7.0200000000000005,173.94,5948.41,nonconforming
585.129999999998,0.019,0.009,0.1,32.5,104.0,1120.86,conforming
786.2399999999909,0.013,0.005,0.12,3.51,557.7,3357.6400000000003,nonconforming
809.5099999999901,0.021,0.01,0.08,24.57,72.15,4053.4,nonconforming
704.7299999999938,0.017,0.018,0.08,0.52,33.800000000000004,1775.54,conforming
552.1099999999991,0.018,0.011,0.22,39.0,416.65,2797.6,nonconforming
574.9899999999983,0.014,0.012,0.1,17.42,17.16,1708.85,conforming
775.8199999999965,0.009,0.008,0.09,25.74,389.74,1625.0,nonconforming
784.6599999999962,0.018,0.009,0.09,0.39,244.01,2546.05,conforming
893.8599999999924,0.024,0.016,0.02,17.42,1.95,3646.63,nonconforming
678.7099999999999,0.006,0.008,0.03,21.58,400.14,40.43,nonconforming
732.0099999999981,0.021,0.017,0.12,8.97,363.48,3535.61,conforming
731.6199999999981,0.008,0.014,0.08,23.53,98.41,3706.56,conforming
908.289999999992,0.013,0.008,0.05,18.33,208.13,4108.78,nonconforming
863.5699999999935,0.006,0.015,0.05,14.04,29.51,4265.82,nonconforming
768.0199999999968,0.009,0.015,0.09,27.04,4.55,4113.72,nonconforming
846.539999999994,0.023,0.011,0.07,16.77,390.26,2420.6,nonconforming
765.0299999999969,0.021,0.01,0.07,0.13,102.7,1309.49,nonconforming
828.7299999999947,0.023,0.011,0.05,26.130000000000003,218.14,1186.77,nonconforming
757.0999999999972,0.018,0.014,0.12,6.890000000000001,351.0,3778.06,nonconforming
960.02999999999,0.013,0.014,0.03,11.7,244.66,2233.01,nonconforming
689.6299999999995,0.015,0.008,0.11,1.82,288.6,1418.82,conforming
678.06,0.006,0.016,0.07,7.67,231.79,256.36,conforming
777.7699999999965,0.019,0.019,0.03,2.99,350.87,1626.17,nonconforming
973.0299999999896,0.023,0.019,0.07,23.92,195.91,1180.14,nonconforming
732.789999999998,0.01,0.006,0.15,28.47,46.93,992.55,conforming
884.1099999999927,0.015,0.011,0.11,16.51,112.19,2875.21,nonconforming
711.8599999999988,0.013,0.02,0.04,0.91,418.21,1623.5700000000002,nonconforming
850.3099999999939,0.013,0.016,0.07,4.8100000000000005,187.2,3821.35,nonconforming
677.41,0.022,0.02,0.08,24.7,169.91,1956.11,conforming
788.6899999999961,0.016,0.011,0.06,23.01,266.89,3350.36,nonconforming
807.5399999999954,0.018,0.005,0.15,20.15,102.44,431.6,nonconforming
735.6499999999979,0.013,0.007,0.14,13.0,203.84,334.1,conforming
910.3699999999918,0.013,0.013,0.03,2.21,52.91,2806.57,nonconforming
794.4099999999959,0.015,0.008,0.12,16.38,163.54,3017.69,nonconforming
969.1299999999898,0.005,0.019,0.08,5.2,85.93,1060.93,nonconforming
971.5999999999896,0.013,0.011,0.11,18.72,204.62,3753.62,nonconforming
812.6099999999952,0.006,0.008,0.07,24.31,45.370000000000005,3754.66,nonconforming
801.9499999999956,0.013,0.006,0.06,24.83,362.31,2442.05,nonconforming
823.2699999999949,0.006,0.016,0.05,12.61,330.2,3712.54,nonconforming
815.8599999999951,0.018,0.008,0.01,13.52,361.92,4222.01,nonconforming
797.0099999999958,0.021,0.005,0.12,4.55,429.26,2434.9,nonconforming
934.419999999991,0.007,0.014,0.01,8.71,127.01,1007.89,nonconforming
917.3899999999916,0.015,0.007,0.03,14.82,234.91,1662.5700000000002,nonconforming
806.4999999999955,0.006,0.005,0.05,14.69,65.65,4284.41,nonconforming
776.2099999999965,0.018,0.007,0.14,11.31,444.86,2253.81,nonconforming
753.3299999999973,0.013,0.017,0.01,16.38,16.51,174.07,nonconforming
762.819999999997,0.006,0.019,0.04,11.44,231.79,4350.06,nonconforming
969.5199999999896,0.008,0.013,0.01,15.21,125.19,3828.24,nonconforming
697.1699999999993,0.02,0.011,0.09,2.21,59.15,2657.46,conforming
927.1399999999912,0.012,0.012,0.02,14.56,164.71,3803.93,nonconforming
848.229999999994,0.012,0.011,0.12,4.94,245.57,2816.71,nonconforming
751.2499999999974,0.006,0.012,0.14,21.84,220.61,3772.73,nonconforming
807.1499999999954,0.019,0.013,0.07,17.68,435.63,657.8000000000001,nonconforming
760.739999999997,0.014,0.007,0.04,17.42,279.11,1634.49,conforming
801.0399999999956,0.018,0.019,0.06,27.3,179.4,3014.7000000000003,nonconforming
953.7899999999904,0.011,0.008,0.09,15.99,355.16,2809.82,nonconforming
982.6699999999954,0.005,0.014,0.07,10.14,221.65,1077.05,nonconforming
975.5199999999955,0.024,0.02,0.04,5.07,95.03,764.4,nonconforming
943.9299999999968,0.008,0.01,0.025,3.38,169.13,2495.09,nonconforming
995.929999999995,0.017,0.02,0.01,11.18,192.53,447.33,nonconforming
925.5999999999974,0.008,0.017,0.005,0.52,5.720000000000001,2097.94,nonconforming
1022.579999999994,0.009,0.01,0.025,1.82,74.49000000000001,1612.52,nonconforming
915.4599999999978,0.019,0.018,0.07,5.07,230.88,1910.35,nonconforming
935.739999999997,0.017,0.008,0.005,5.720000000000001,149.76,783.51,conforming
1031.2899999999936,0.009,0.014,0.05,3.9,41.34,461.24,nonconforming
941.0699999999968,0.02,0.005,0.045,3.38,265.46000000000004,861.38,nonconforming
930.1499999999972,0.017,0.009,0.01,4.55,201.5,1561.95,nonconforming
855.6599999999999,0.01,0.014,0.015,0.26,270.66,2204.67,conforming
952.3799999999964,0.021,0.01,0.07,4.16,207.35,888.8100000000001,nonconforming
854.2299999999999,0.012,0.009,0.03,2.47,276.64,2486.9,conforming
1016.7299999999942,0.005,0.007,0.05,6.63,171.73000000000002,436.02,nonconforming
905.969999999998,0.022,0.01,0.025,4.16,208.39,1228.63,nonconforming
917.9299999999976,0.011,0.01,0.065,0.52,207.61,1108.51,nonconforming
998.1399999999948,0.005,0.015,0.035,8.19,213.72,768.3000000000001,nonconforming
1048.969999999993,0.024,0.016,0.0,2.08,129.22,1854.97,nonconforming
949.2599999999966,0.017,0.012,0.045,3.77,102.31,2656.03,nonconforming
909.349999999998,0.019,0.013,0.065,3.51,52.91,1911.26,nonconforming
968.499999999996,0.01,0.015,0.07,6.24,166.53,691.08,nonconforming
885.8199999999988,0.024,0.015,0.06,3.77,108.94,2716.48,nonconforming
864.3699999999995,0.007,0.006,0.005,1.95,182.52,2109.12,conforming
910.909999999998,0.007,0.015,0.05,10.27,218.14,1379.17,nonconforming
879.709999999999,0.008,0.009,0.01,3.64,178.75,1135.81,conforming
1006.1999999999946,0.012,0.02,0.035,6.37,214.24,2536.9500000000003,nonconforming
875.6799999999992,0.006,0.006,0.0,2.21,167.70000000000002,1889.94,conforming
892.0599999999986,0.019,0.018,0.0,5.59,260.65000000000003,1545.8300000000002,nonconforming
863.7199999999996,0.018,0.011,0.0,2.8600000000000003,124.41,1300.52,conforming
941.7199999999968,0.007,0.007,0.065,4.16,89.44,1494.35,nonconforming
896.4799999999984,0.011,0.008,0.02,0.65,151.97,1998.1,conforming
1022.059999999994,0.009,0.007,0.055,2.34,94.25,2778.36,nonconforming
920.5299999999976,0.009,0.016,0.035,1.17,222.3,1555.97,nonconforming
927.6799999999972,0.016,0.005,0.055,6.24,176.02,1310.14,nonconforming
1007.6299999999944,0.014,0.02,0.01,10.53,292.11,1594.71,nonconforming
967.459999999996,0.014,0.017,0.0,0.0,159.38,1591.0700000000002,nonconforming
897.9099999999984,0.021,0.017,0.05,5.2,179.79,2111.33,nonconforming
967.849999999996,0.013,0.011,0.015,3.38,158.21,990.47,conforming
949.2599999999966,0.006,0.019,0.015,5.8500000000000005,55.510000000000005,486.98,nonconforming
877.3699999999991,0.006,0.02,0.005,7.930000000000001,210.6,2077.79,nonconforming
993.719999999995,0.007,0.018,0.03,1.4300000000000002,276.12,2455.1800000000003,nonconforming
973.5699999999956,0.014,0.009,0.035,9.88,46.41,1960.14,nonconforming
1009.4499999999944,0.022,0.006,0.025,3.38,211.64,1451.32,nonconforming
938.599999999997,0.008,0.017,0.05,6.37,274.3,1892.28,nonconforming
904.409999999998,0.012,0.017,0.045,0.52,130.39,1908.14,nonconforming
870.4799999999993,0.015,0.019,0.01,10.01,106.47,1269.45,nonconforming
1032.0699999999938,0.023,0.008,0.01,9.49,9.49,2326.87,nonconforming
935.6099999999972,0.008,0.012,0.065,8.06,275.34000000000003,532.09,nonconforming
906.229999999998,0.01,0.014,0.06,0.65,227.89,1085.5,nonconforming
1040.61999999999,0.0082,0.0099,0.0,0.5,0.0,128.29999999999814,conforming
1495.879999999974,0.0097,0.0103,0.0,2.19,0.0,157.5499999999971,nonconforming
1009.419999999991,0.0096,0.0118,0.0,1.15,0.0,99.95999999999913,nonconforming
1281.1199999999817,0.0075,0.0102,0.0,1.15,0.0,148.70999999999742,nonconforming
1193.2399999999843,0.0083,0.01,0.0,2.06,0.0,159.23999999999705,nonconforming
760.8599999999997,0.0075,0.0094,0.0,2.45,0.0,115.94999999999855,conforming
1229.6399999999833,0.0118,0.0075,0.0,1.15,0.0,124.78999999999826,nonconforming
1743.5299999999652,0.0118,0.0092,0.0,1.93,0.0,124.78999999999826,nonconforming
1097.819999999988,0.0099,0.0082,0.0,1.02,0.0,106.84999999999889,conforming
1073.2499999999886,0.0085,0.0103,0.0,1.93,0.0,105.28999999999894,nonconforming
1488.4699999999743,0.0116,0.0104,0.0,1.54,0.0,132.459999999998,nonconforming
1096.779999999988,0.01,0.0115,0.0,1.8,0.0,168.85999999999672,nonconforming
1585.4499999999707,0.0088,0.0097,0.0,2.06,0.0,128.9499999999981,nonconforming
1012.2799999999908,0.0123,0.0103,0.0,0.76,0.0,92.5499999999994,nonconforming
917.7699999999942,0.0099,0.0104,0.0,0.89,0.0,142.85999999999763,conforming
864.859999999996,0.0094,0.0087,0.0,0.89,0.0,92.80999999999938,conforming
801.9399999999982,0.0116,0.0119,0.0,0.63,0.0,108.40999999999885,conforming
1382.909999999978,0.01,0.0085,0.0,1.67,0.0,96.31999999999924,conforming
1599.4899999999702,0.0094,0.0096,0.0,1.93,0.0,112.1799999999987,nonconforming
1232.369999999983,0.008,0.0122,0.0,2.45,0.0,171.9799999999966,nonconforming
805.9699999999981,0.0103,0.0117,0.0,1.54,0.0,117.24999999999852,conforming
1119.3999999999871,0.0106,0.0083,0.0,1.67,0.0,150.13999999999737,nonconforming
1290.7399999999811,0.0082,0.0084,0.0,2.3200000000000003,0.0,121.40999999999838,nonconforming
1109.5199999999877,0.012,0.0107,0.0,2.19,0.0,148.57999999999743,nonconforming
1361.7199999999789,0.008,0.0106,0.0,0.63,0.0,162.22999999999695,nonconforming
1005.2599999999912,0.0079,0.0102,0.0,0.5,0.0,164.69999999999686,nonconforming
1264.739999999982,0.0112,0.0081,0.0,2.45,0.0,99.43999999999916,nonconforming
1343.7799999999793,0.0099,0.0094,0.0,1.93,0.0,140.6499999999977,conforming
1364.709999999979,0.0102,0.0117,0.0,0.5,0.0,103.469999999999,nonconforming
1304.6499999999803,0.0096,0.0121,0.0,1.8,0.0,122.18999999999836,nonconforming
857.3199999999963,0.0086,0.0087,0.0,0.63,0.0,160.799999999997,conforming
1487.9499999999744,0.0075,0.0094,0.0,0.76,0.0,136.09999999999786,conforming
1025.5399999999904,0.0122,0.0085,0.0,1.67,0.0,169.89999999999668,nonconforming
1149.299999999986,0.0089,0.008,0.0,1.93,0.0,174.9699999999965,nonconforming
1030.4799999999902,0.0098,0.0102,0.0,1.02,0.0,151.30999999999733,nonconforming
1449.0799999999756,0.0086,0.0105,0.0,1.41,0.0,105.02999999999896,nonconforming
1015.9199999999908,0.0111,0.0101,0.0,2.3200000000000003,0.0,85.13999999999965,nonconforming
1500.949999999974,0.011,0.0114,0.0,0.5,0.0,85.39999999999964,nonconforming
1528.1199999999728,0.0116,0.0113,0.0,1.8,0.0,161.96999999999696,nonconforming
995.5099999999916,0.0119,0.0101,0.0,0.76,0.0,91.7699999999994,conforming
1518.6299999999733,0.0117,0.0118,0.0,1.8,0.0,102.16999999999904,nonconforming
1071.2999999999888,0.01,0.0125,0.0,1.54,0.0,144.41999999999757,nonconforming
879.4199999999955,0.0105,0.0122,0.0,2.45,0.0,148.57999999999743,conforming
1270.4599999999818,0.0078,0.0081,0.0,1.28,0.0,168.72999999999672,nonconforming
1310.2399999999805,0.0097,0.0123,0.0,2.3200000000000003,0.0,152.99999999999727,nonconforming
1267.7299999999818,0.0102,0.0079,0.0,1.41,0.0,77.59999999999991,nonconforming
1186.2199999999848,0.0119,0.0089,0.0,1.15,0.0,76.29999999999995,nonconforming
1641.869999999969,0.0123,0.0107,0.0,1.93,0.0,97.6199999999992,nonconforming
